ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
65,516,Jockamo IPA,American Amber / Red Ale,12.0,0.075,nan,370,Round Guys Brewing,Brooklyn,DC
66,1658,Porter (a/k/a Black Gold Porter),Bock,12.0,0.042,85.0,533,Great Divide Brewing Company,Abita Springs,LA
67,2245,Abita Amber,American Amber / Red Lager,12.0,0.045,nan,122,Abita Brewing Company,Lewiston,LA
68,2540,Vernal Minthe Stout,American Blonde Ale,16.0,0.082,nan,62,Against The Grain Brewery,Lake Havasu City,OH
69,2599,General George Patton Pilsner,American Brown Ale,16.0,0.06,28.0,62,Against The Grain Brewery,Lake Havasu City,OH
70,2686,Ashland Amber Ale (2009),Saison / Farmhouse Ale,16.0,0.075,nan,68,Orlison Brewing Company,Longmont,RI
71,2397,Hubris Quadrupel Anniversary Ale,English Barleywine,16.9,0.125,nan,267,Straight to Ale,Wolcott,CO
72,2684,Trauger Pilsner,Scotch Ale / Wee Heavy,12.0,0.053,35.0,1,Southern Prohibition Brewing Com...,Houston,PA
73,2683,Black Me Stout,Cider,16.0,0.052,nan,1,Burn 'Em Brewing,Fort Collins,KY
74,597,Rules are Rules,American Brown Ale,12.0,0.068,nan,126,Worthy Brewing Company,Louisville,CO
75,2476,Train Wreck,California Common / Steam Beer,16.0,0.049,nan,1,Mikerphone Brewing,Export,KS
76,2680,Grapefruit Jungle (GFJ) (2011),Gose,16.0,0.04,nan,1,Bozeman Brewing Company,Louisville,KY
77,2027,Suzy B Dirty Blonde Ale,American Pilsner,16.0,0.049,11.0,394,Against the Grain Brewery,Stevens Point,CA
78,881,Rico Sauvin,American IPA,12.0,0.082,75.0,1,Against the Grain Brewery,Minneapolis,NJ
79,929,Hideout Helles,Saison / Farmhouse Ale,16.0,0.051,nan,368,Four String Brewing Company,Durango,TX
80,2583,Kamen Knuddeln,American Wild Ale,12.0,0.045,nan,51,Against the Grain Brewery,Louisville,NY
81,890,Pile of Face,American IPA,16.0,0.068,65.0,44,Ballast Point Brewing Company,Louisville,MN
82,2674,Deviant Dale's IPA,American Pale Lager,16.0,0.06,18.0,1,Black Shirt Brewing Company,Fort Collins,KY
83,1988,UFO Gingerland,American Stout,12.0,0.053,nan,367,Madtree Brewing Company,Dolores,WA
84,1970,Lost River Blonde Ale,American Pale Ale (APA),16.0,0.053,20.0,205,Airways Brewing Company,Kent,WA
85,2120,Pre Flight Pilsner,Winter Warmer,12.0,0.052,8.0,367,Schlafly Brewing Company,Minneapolis,WA
86,807,Wee Muckle (2011),American Pilsner,12.0,0.082,nan,60,Alameda Brewing,Charleston,SD
87,1425,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,80.0,306,Alameda Brewing,Portland,OR
88,2401,Colorado Native,Kölsch,16.0,0.082,103.0,424,Anderson Valley Brewing Company,Portland,WY
89,1921,Freeride APA,Belgian Pale Ale,12.0,0.053,12.0,270,Center of the Universe Brewing C...,Juneau,AK
90,2531,THP Amber (2006),Altbier,12.0,0.092,69.0,155,Alaskan Brewing Company,Juneau,AK
91,2501,Peach Pale Ale,American Pale Ale (APA),12.0,0.068,nan,309,Lumberyard Brewing Company,Lemont,WI
92,41,Heavy Lifting,Chile Beer,16.0,0.043,nan,388,Deep Ellum Brewing Company,Palisade,KY
93,1149,Harpoon IPA,American IPA,12.0,0.065,nan,388,Alltech's Lexington Brewing Company,Palisade,KY
94,1596,Dusty Trail Pale Ale,American Double / Imperial IPA,16.0,0.054,nan,401,Base Camp Brewing Co.,Washougal,MT
95,1138,Damnesia,American IPA,16.0,0.062,nan,356,Amnesia Brewing Company,Washougal,WA
96,553,Desolation IPA,American IPA,12.0,0.055,40.0,401,Amnesia Brewing Company,Washougal,WA
97,57,Ozark American Pale Ale,English India Pale Ale (IPA),12.0,0.051,nan,35,Anchor Brewing Company,San Francisco,CA
98,2578,IPA,American IPA,12.0,nan,nan,35,Rhinegeist Brewery,Duluth,NC
99,2577,Batch 69 IPA,American Pale Wheat Ale,12.0,0.045,nan,35,Fat Head's Brewery,Framingham,WA
100,1774,Top Rope Mexican-style Craft Lager,American Pale Ale (APA),12.0,0.049,nan,46,Madtree Brewing Company,Jacksonville,AZ
101,1080,8-Bit Pale Ale,American Stout,12.0,0.056,nan,100,Griffin Claw Brewing Company,Ada,OR
102,2536,Blood Orange Gose,Gose,12.0,0.042,nan,171,Anderson Valley Brewing Company,Idaho Springs,WA
103,1675,Keebarlin' Pale Ale,American Pale Ale (APA),12.0,0.042,nan,171,Twisted X Brewing Company,Croydon,CA
104,1738,Rye Porter,Hefeweizen,16.0,0.075,nan,171,Anderson Valley Brewing Company,Boonville,WA
105,1563,London Homesick Ale,Kölsch,12.0,0.062,nan,25,SlapShot Brewing Company,Boonville,NC
106,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.065,nan,171,Anderson Valley Brewing Company,Boonville,NE
107,67,Summer Solstice,Belgian Strong Dark Ale,12.0,0.056,nan,171,New Republic Brewing Company,Dayton,CA
108,1327,Infamous IPA,American IPA,12.0,0.05,nan,309,Hangar 24 Craft Brewery,Grand Rapids,WA
109,1126,Boont Amber Ale,Belgian Dark Ale,12.0,0.053,nan,10,Astoria Brewing Company,Boonville,TX
110,2364,High Country Pilsner (Current),Cream Ale,12.0,0.057,13.0,192,Fort Point Beer Company,Cambridge,MI
111,2640,Day Tripper Pale Ale,Witbier,16.0,0.055,72.0,171,New England Brewing Company,Douglas,CO
112,2533,Psychopomp,American Amber / Red Ale,12.0,0.043,30.0,364,Anderson Valley Brewing Company,Belfast,PA
113,753,Pole Barn Stout,American Stout,12.0,0.056,nan,476,Four Corners Brewing Company,Washougal,WA
114,572,Barney Flats Oatmeal Stout (2012),American Double / Imperial IPA,12.0,0.057,nan,551,Burn 'Em Brewing,Boulder,TX
115,704,Get Up Offa That Brown,Winter Warmer,16.0,0.099,nan,375,Anderson Valley Brewing Company,Portland,CA
116,367,Hop Ottin' IPA (2011),American IPA,12.0,0.07,nan,24,Anderson Valley Brewing Company,Denver,FL
117,78,Quick WIT,Cream Ale,12.0,0.059,15.0,33,Northwoods Brewpub,Kona,CA
118,2549,Southern Cross,American Pale Ale (APA),12.0,0.055,nan,437,Burn 'Em Brewing,Morganton,UT
119,1397,Leaning Chimney Smoked Porter,Bock,12.0,0.055,40.0,0,Foolproof Brewing Company,Flagstaff,PA
120,1360,Charlie's Rye IPA,Rye Beer,12.0,0.055,nan,146,Broken Tooth Brewing Company,Fort Collins,AZ
121,1816,Hoptopus Double IPA,American Pale Ale (APA),12.0,0.046,nan,247,Evil Czech Brewery,Tempe,CO
122,409,Hustle,American Pale Ale (APA),16.0,0.047,nan,198,Brewery Vivant,Santa Fe,NC
123,516,Pleasure Town,American Pale Wheat Ale,12.0,0.05,nan,434,Angry Orchard Cider Company,Bloomington,AR
124,1904,Angry Orchard Crisp Apple,American Porter,16.0,0.05,nan,10,Angry Orchard Cider Company,Tampa,OH
125,916,Lil' Brainless Raspberries,American Brown Ale,12.0,0.085,nan,434,Texian Brewing Co.,Bloomington,CA
126,2207,Golden One,Belgian Pale Ale,12.0,0.057,nan,193,Destihl Brewery,Brooklyn,PA
127,2307,Native Amber (2013),American IPA,12.0,0.051,nan,193,New Belgium Brewing Company,Brooklyn,PA
128,773,Montana Trout Slayer Ale (2009),Belgian Pale Ale,12.0,0.05,nan,193,3 Daughters Brewing,Brooklyn,PA
129,775,Dog Days Summer Ale,American IPA,16.0,0.071,nan,309,Appalachian Mountain Brewery,Boone,RI
130,949,Miner's Gold Hefeweizen,American Pale Lager,16.0,0.047,nan,309,Appalachian Mountain Brewery,Boone,RI
131,1990,Wild Onion Pumpkin Ale (2010),American Brown Ale,12.0,0.057,nan,309,Appalachian Mountain Brewery,Boone,RI
132,413,Hustle,American Pale Ale (APA),12.0,0.056,55.0,541,Arcadia Brewing Company,Chicago,CA
133,390,Whitsun,Belgian Dark Ale,12.0,0.062,25.0,541,Arcadia Brewing Company,Framingham,GA
134,2634,Rise to the Top,Irish Red Ale,16.0,0.096,nan,513,New Belgium Brewing Company,Seattle,CO
135,2201,Rail Yard Ale (2009),American Double / Imperial Stout,16.0,0.092,nan,254,Armadillo Ale Works,Denton,MI
136,780,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,19.2,0.04,nan,175,Armadillo Ale Works,Gainesville,AZ
137,2531,Mo's Gose,Gose,12.0,0.063,nan,190,Refuge Brewery,Morganton,CA
138,1322,Jade,American Pale Lager,12.0,0.067,45.0,66,18th Street Brewery,Jacksonville,CO
139,550,Rocket Girl,Kölsch,16.0,0.07,nan,528,Asheville Brewing Company,Longmont,NC
140,52,Fistful Of Hops Blue,American Porter,12.0,0.045,nan,150,Asheville Brewing Company,Sheridan,NC
141,428,Shiva IPA,American IPA,12.0,nan,nan,528,Pateros Creek Brewing Company,Longmont,NC
142,1640,Great Crescent Dark Lager,Kölsch,16.0,0.055,nan,353,Hopworks Urban Brewery,Bellingham,WA
143,1639,Old Chub,American IPA,16.0,0.044,nan,375,Aslan Brewing Company,Bellingham,MN
144,463,14° ESB,American Amber / Red Ale,12.0,0.077,nan,46,Aslan Brewing Company,Palisade,NE
145,597,This Season's Blonde,American Strong Ale,12.0,0.056,nan,44,Aspen Brewing Company,Belmont,IA
146,1802,Independence Pass Ale,American Pale Wheat Ale,12.0,0.065,nan,329,Aspen Brewing Company,Mustang,CO
147,1580,Station 33 Firehouse Red,American Pale Lager,12.0,0.057,nan,374,Astoria Brewing Company,Plainfield,WI
148,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,16.0,0.053,nan,204,Sixpoint Craft Ales,Indianapolis,OR
149,979,Rahr's Blonde,American Porter,12.0,0.099,nan,374,Astoria Brewing Company,Tampa,OR
150,890,Worthy IPA (2013),German Pilsener,12.0,0.046,nan,374,Astoria Brewing Company,Eagle,MI
151,103,Samuel Adams Octoberfest,American Barleywine,16.0,0.08,47.0,72,Atwater Brewery,Lexington,OR
152,2502,Vanilla Java Porter,Munich Helles Lager,16.0,0.08,nan,192,Hopworks Urban Brewery,Woodbridge,CA
153,2495,Michelada,American Pale Ale (APA),16.0,0.08,nan,216,Stevens Point Brewery,Chandler,CO
154,1606,Point Oktoberfest,American Blonde Ale,12.0,0.045,nan,361,Atwater Brewery,Athens,MI
155,528,Lift Off IPA,American Pale Ale (APA),12.0,0.049,62.0,181,Atwater Brewery,Minneapolis,MI
156,2640,Atwater's Lager,American Amber / Red Ale,12.0,0.068,35.0,307,Atwater Brewery,Kirkwood,MI
157,1409,Heavy Machinery IPA Series #1: Heavy Fist,Maibock / Helles Bock,12.0,0.07,nan,41,Austin Beerworks,Austin,TX
158,343,Fire Eagle IPA,American IPA,12.0,nan,nan,377,Austin Beerworks,Austin,TX
159,2443,Peacemaker,American IPA,12.0,0.057,nan,413,Upslope Brewing Company,Austin,MI
160,341,Hans' Pils (2015),American Double / Imperial IPA,12.0,0.043,nan,413,Nebraska Brewing Company,Austin,MI
161,340,Black Thunder,Schwarzbier,12.0,0.062,nan,61,New Belgium Brewing Company,Verona,TX
162,2589,Boxer,American Double / Imperial IPA,12.0,0.04,nan,155,Brewery Vivant,Pacific,CO
163,2100,Hop Box Imperial IPA,American Pilsner,16.0,0.064,nan,43,Avery Brewing Company,Boulder,CO
164,379,Avery Joe’s Premium American Pilsner,Dubbel,12.0,0.069,66.0,37,Avery Brewing Company,Newburyport,IL
165,108,White Rascal,Witbier,12.0,0.056,10.0,272,Against the Grain Brewery,Huntsville,MA
166,1596,Avery India Pale Ale,Hefeweizen,12.0,0.052,60.0,37,Avery Brewing Company,Monroe,ME
167,106,Core ESB,Märzen / Oktoberfest,12.0,0.092,nan,255,Bozeman Brewing Company,Blanco,CO
168,1620,Uncle John's Apricot Apple Cider,American IPA,12.0,0.05,47.0,534,Aviator Brewing Company,Fuquay-Varina,NC
169,1579,Beyond The Pale IPA,Märzen / Oktoberfest,12.0,0.072,22.0,360,Aviator Brewing Company,Fuquay-Varina,IL
170,20,Good People Pale Ale,American Pale Wheat Ale,12.0,0.069,nan,360,Redhook Brewery,Fuquay-Varina,NC
171,2185,Hog Wild India Pale Ale,Dubbel,12.0,0.067,nan,171,Aviator Brewing Company,Morganton,CO
172,704,Devils Tramping Ground Tripel,Belgian Pale Ale,12.0,0.082,23.0,475,Aviator Brewing Company,Seattle,NC
173,702,Dolores River ESB,Kölsch,12.0,0.045,18.0,360,Three Notch'd Brewing Company,Danville,TX
174,2058,Palate Mallet,American Pale Ale (APA),12.0,0.072,nan,484,Mikkeller,Bloomfield,NC
175,824,Back East Porter,American Porter,12.0,0.067,nan,235,Cedar Creek Brewery,Aurora,CT
176,1327,Golden Road Hefeweizen,American Amber / Red Ale,16.0,0.075,nan,52,Harpoon Brewery,Reno,IN
177,730,Sea Hag IPA,Extra Special / Strong Bitter (ESB),12.0,0.053,nan,317,Back East Brewing Company,Seattle,CT
178,1024,Back East Ale,American IPA,12.0,0.099,nan,235,Back East Brewing Company,Austin,CT
179,1876,Fat Badger,English Brown Ale,12.0,0.06,nan,475,Swamp Head Brewery,Manhattan,AL
180,2009,U.S. Pale Ale,American Pilsner,12.0,0.068,40.0,0,Cedar Creek Brewery,San Diego,TX
181,966,Topcutter India Pale Ale,Mead,12.0,0.068,70.0,490,Schlafly Brewing Company,Boonville,WA
182,965,Freeride APA,American Brown Ale,12.0,0.044,7.0,483,Mavericks Beer Company,Yakima,WA
183,651,Grapefruit Sculpin,American IPA,16.0,0.07,nan,495,Ballast Point Brewing Company,Aurora,WI
184,2105,Pilot Rock Porter,American Pale Ale (APA),12.0,0.049,nan,152,Rhinegeist Brewery,South Burlington,NC
185,2272,Ballast Point Pale Ale,Kölsch,12.0,0.071,nan,34,Against the Grain Brewery,San Diego,ID
186,1400,Tropical Heatwave,American IPA,12.0,0.079,31.0,380,Four String Brewing Company,San Diego,CA
187,1019,Longfin Lager,Munich Helles Lager,12.0,0.046,nan,24,Ballast Point Brewing Company,San Diego,IL
188,766,Big Red Coq,Kölsch,12.0,0.04,nan,17,Finch's Beer Company,San Diego,CA
189,1776,Nunica Pine,Berliner Weissbier,12.0,0.045,nan,192,Banner Beer Company,Baton Rouge,IL
190,1650,Old Town Ale,Märzen / Oktoberfest,12.0,0.048,nan,269,Banner Beer Company,Idaho Springs,TX
191,1643,Saint Archer IPA,American Amber / Red Ale,12.0,0.05,45.0,318,Magic Hat Brewing Company,Denver,MA
192,2531,HUB Lager,American IPA,12.0,0.07,nan,66,18th Street Brewery,Wilkes-Barre,CO
193,1451,Sinister,Hefeweizen,12.0,0.035,45.0,251,Barrio Brewing Company,Tucson,AZ
194,1343,Bourbon Barrel Wee Mac,Belgian Pale Ale,12.0,0.046,nan,251,Barrio Brewing Company,Tucson,AZ
195,2404,Hop in the ‘Pool Helles,American Stout,12.0,0.048,75.0,116,Boston Beer Company,Portland,KY
196,1357,Ultra Gnar Gnar IPA,Gose,12.0,0.045,nan,416,Dock Street Brewery,Portland,WI
197,2189,In-Tents India Pale Lager,Czech Pilsener,12.0,0.068,60.0,482,Base Camp Brewing Co.,Portland,OR
198,1107,Ginger Peach Saison,Witbier,12.0,0.07,nan,131,Narragansett Brewing Company,Lahaina,KS
199,2187,Saucy Intruder,Euro Dark Lager,16.0,0.051,nan,165,21st Amendment Brewery,Portland,SD
200,2668,Wagon Party,American IPA,12.0,nan,nan,183,Mikerphone Brewing,Minneapolis,NC
201,1965,Damnesia,American IPA,12.0,0.067,nan,38,Bauhaus Brew Labs,Minneapolis,MN
202,1964,Texicali,Schwarzbier,12.0,0.093,28.0,550,Engine House 9,Minneapolis,MN
203,1963,Occidental Dunkel,American Double / Imperial IPA,12.0,0.044,15.0,291,Great River Brewery,Monroe,PA
204,2245,Tarnation California-Style Lager,Hefeweizen,16.0,0.065,nan,292,Baxter Brewing Company,Chico,PA
205,2597,Parade Ground Coffee Porter,Munich Helles Lager,16.0,0.055,nan,322,Denali Brewing Company,Lewiston,ME
206,1209,Summer Swelter,American Pale Ale (APA),12.0,0.05,nan,110,Baxter Brewing Company,Lexington,SC
207,1793,Harpoon Summer Beer,American IPA,12.0,0.052,nan,41,Brewery Vivant,Lewiston,OR
208,2438,Hayride Autumn Ale,Cider,16.0,0.05,nan,43,Baxter Brewing Company,Murphysboro,ME
209,2495,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.068,nan,292,Black Market Brewing Company,Lewiston,CA
210,1275,Amber Road,American Amber / Red Ale,12.0,0.068,nan,25,Baxter Brewing Company,Lewiston,ME
211,929,Blur India Pale Ale,American IPA,12.0,0.06,nan,292,Baxter Brewing Company,Lewiston,CO
212,1034,Spin Doctor,Dunkelweizen,12.0,0.072,40.0,274,Baxter Brewing Company,Lewiston,ME
213,1806,Hoptopus Double IPA,Winter Warmer,12.0,0.088,82.0,435,TailGate Beer,Virginia Beach,WA
214,1086,Watermelon Ale,Fruit / Vegetable Beer,12.0,0.051,10.0,294,Beer Works Brewery,Louisville,MA
215,1142,Hoponius Union,American IPA,16.0,0.058,nan,103,Sixpoint Craft Ales,Lowell,MA
216,1838,Oklahoma Suks,American IPA,16.0,nan,40.0,103,Freetail Brewing Company,Lowell,MA
217,2419,Bunker Hill Blueberry Ale,American Brown Ale,12.0,0.045,28.0,103,Vander Mill Ciders,Lowell,MI
218,2494,Car 21,American Pale Wheat Ale,12.0,0.064,nan,76,Straub Brewery,Boise,ME
219,2341,Smitten,American Blonde Ale,16.0,0.052,nan,76,Burn 'Em Brewing,Kalamazoo,NY
220,600,Winter White,Witbier,16.0,0.071,nan,76,Brewery Vivant,Kalamazoo,CO
221,1989,Oberon,American IPA,16.0,0.051,nan,76,Bell's Brewery,Lyons,MI
222,1273,Two Hearted,American Pale Ale (APA),12.0,0.046,nan,125,Rhinegeist Brewery,Juneau,OR
223,1955,Turnrow Harvest Ale,American Amber / Red Lager,12.0,0.07,nan,204,Broken Tooth Brewing Company,Kalamazoo,CA
224,1708,Tiny Bomb,American Double / Imperial IPA,12.0,0.075,nan,392,Real Ale Brewing Company,Boonville,MN
225,2557,The Green Room,American Double / Imperial IPA,16.0,0.083,nan,222,Bent Brewstillery,Mt. Airy,MN
226,2556,Nordic Blonde,American IPA,16.0,0.057,27.0,53,Frog Level Brewing Company,Portland,MN
227,1919,Cold Press,Herbed / Spiced Beer,12.0,0.06,nan,391,Fort Point Beer Company,Milwaukee,NC
228,2410,Harness the Winter,American IPA,12.0,0.072,nan,68,Indeed Brewing Company,Westfield,MN
229,1902,Mystic Mama IPA,American Pale Wheat Ale,12.0,0.056,362.0,230,Bent Paddle Brewing Company,Duluth,MN
230,1917,Ashland Amber Ale (2009),American IPA,12.0,nan,nan,205,Bent Paddle Brewing Company,Duluth,MN
231,1261,Bent Paddle Black Ale,American Black Ale,16.0,0.06,nan,75,Brewery Vivant,Duluth,MN
232,1253,Golden Fleece,American Brown Ale,12.0,nan,27.0,156,Joseph James Brewing Company,Duluth,CO
233,2198,Trailhead India Style Session Ale (2011),English India Pale Ale (IPA),12.0,0.043,46.0,278,Fearless Brewing Company,Springfield,IN
234,1918,Tart Side of the Moon,Saison / Farmhouse Ale,12.0,0.05,nan,278,Crow Peak Brewing Company,Springfield,IN
235,1631,WYLD Extra Pale Ale,American IPA,12.0,0.078,nan,463,Rochester Mills Brewing Company,Duluth,TX
236,1157,Wild Trail Pale Ale,Czech Pilsener,16.0,0.08,nan,463,Asheville Brewing Company,Duluth,TX
237,2550,Lava Lake Wit,Hefeweizen,12.0,0.097,nan,463,Big Bend Brewing Company,Duluth,CO
238,1082,Big Bend Hefeweizen,Milk / Sweet Stout,12.0,0.039,nan,463,Harpoon Brewery,Duluth,KY
239,1342,Undun Blonde Ale,American IPA,12.0,0.055,nan,60,Broken Tooth Brewing Company,Milwaukee,NC
240,2104,Cougar,American Strong Ale,12.0,0.081,100.0,210,Flying Dog Brewery,Broomfield,CO
241,1762,Gran Sport,Kölsch,12.0,0.068,25.0,253,Sly Fox Brewing Company,Aurora,CA
242,2652,West Portal Colorado Common Summer Ale,Belgian Pale Ale,16.0,0.058,nan,51,Big Choice Brewing,Broomfield,PA
243,1067,Citrafest,Witbier,16.0,0.067,21.0,503,New England Brewing Company,San Diego,PA
244,1831,Elder Betty,Hefeweizen,12.0,0.07,nan,331,Big Elm Brewing,Indianapolis,WA
245,1002,Pepper in the Rye,American Pale Ale (APA),12.0,0.065,nan,477,Big Elm Brewing,Royal Oak,OH
