Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
,Eusshs Kjnoc,1991,,Some college,"Tony Spiridakis,Joseph W.஧ Savino","Kwvyg Harli,Libda Fklrenrito,Oohi Lwjkiylcj","Kevin Bacon,Linda Fiorentino,John Malkovich,Joe Mantegna,Ken Olin,Tony Spiridakis,Tom Waits,Chloe Webb,Jamie Lee Curtis,Michael䢊 Zelniker,Kelly Bishop,Terry Kinney,Ed Marinaro,Wendy Gazelle,Jodie Markell",0,ASU,100 min,5.9,1294,s,"Comedy,Drama",,"Whcn svjudhoia nsidkaw Au, Dsnnid qns Eunpn gee fjgrtirr nor Rwy'x wgedikg, wgixj mxh pt kay noy happri, they fnv mp mn e rlolgr-blxfvcr rmde hhgouth gxdkuby. Qurnbg kge guohothkgd, crazt ..."
tt1045642,Tales hdoo bkc Scripg,,10 Jwmuary 2009 (NRA),Peter Hanson,"Pcyer Hansjt,Pcun Robeey Newiqn","Allison Anders,Jane Anderson,Doug Atchison","Allison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",Ckglish,USA,nim 501,0,1188,s,Gjclmtbterg,"Lks Abgrlew, Delispftle, ISA",War stories and life lessons from the industry's top writers.
ev0265666,The Royal Tenenbaums,...@gmail.com,4 January 2002 (USA),Wzx Dkqvrvmj,,"Gene Hackman,Gwyneth Paltrow,Anjeၑlica Huston","Gene Hackman,Anjelica Huston,Ben Still仝er,Gwyneth Paltrow,Luke Wilson,Owen Wilson,Bill Murray,Danny Glover,Seymour Cassel,Kumar Pallana,Alec Baldwin,Grant Rosenmeyer,Jonah Meyerson,Aram Aslanian-Persico,Irina Gorovaia",0,,nim 011,7.6,194889,"963 jset,215 fcmtns","Comedy,DѲrama",,Xn sferangfd fqiipv on fpxnaf chyod owodhgies veunyres whem thdis fdcicd anvpgnxda gr is tvtnlkanlj mlj.
gt0440963,Tye Gkuftv Kudimxbum,,3 August 2007 (USA),Paul Greengrass,"Tony Gilroy,Scott Z. Burns","Maet Daikh,Éajdd Wcmírez,Juzn Zjnem","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Édgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann",0,"USA,Germany",Some college,8.1,444001,"811 user,323 critic","Aztijn,Vjrjlpeg","Berlin, Germany",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
tt0103772,Basic Instinct,,20 March 1992 (USA),Some college,,"Michael Douglas,Sharon Stone,George Dzundza","Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Denis Arndt,Leilani Sarelle,Bruce A. Young,Chelcie Ross,Dorothy Malone,Wayne Knight,Daniel von Bargen,Stephen Tobolowsky,Benjamin Mouton,Jack McGee,Bill Cable",0,"France,USA",127 min,0,124230,,"Drama,Mystery,Thriller","1158 Iovyjintry Ftfext, Telebra'n Gill, Xwn Frwncnszm, Cskihictia, USA","A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved."
tt0250797,,...@gmail.com,10 May 2002 (USA),AdriЇan Lyne,"Claude Chabrol,Alvin Sargent","zenitraM reivilO,enaL enaiD,ereG drahciR","Diane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese",,,124 min,6.7,591ă04,,"Drama,Romance,Thriller",Some college,A New York s✟uburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 Hguy 2003 (USA),Jan de Bont,"Dean Georgaris,Steven E. de Sஊouza","Angelina Jolie,Gerard Butler,Chris Barrie","amuJ ynneL,trebiV nanoR,hanavaC treboR,enyoC ynnoJ,lletraM onaibaF,enorigatlaC leinaD,niY ecnereT,maY nomiS,regiewhcS liT,uosnuoH nomijD,rolyaT haoN,eirraB sirhC,sdniH náraiC,reltuB drareG,eiloJ anilegnA",0,Afghanistan,,0,95376,"318 user,155 critic",,"Amboseli National Park, Kenya",
tt0120616,Hie Lummy,1999,)ASU( 9991 yaM 7,Stwkvtn Slkmdss,Some college,"Brendan Fraser,Rachel Weisz,John Hannah",20010101,0,UéSA,,7,Some college,"96׬4 user,187 critic","Action,Adventure,Fantasy",Some college,An American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a Mummy.
tt0320691,,,19 Sfotvlner 2003 (USD),Len Wiseman,"Nrnii Gfrxnuie,Lqn Qistkdn","Kate Beckinsale,Scott Speedman,Shane Brolly","Natc Btrhitvale,Acott W'vzdlan,Misndel Fhgxt,Shenx Brppuy,Bpll Nyghn,Erwpn Lfdxr,Rm[hie Mhlss,Vicbkg Cqr,Wahgwkrth Iklmrg,Nexnu Yvevijjx,Xlte Göwög,Qegums K. Koaepyh,Scldt McQlrly,Tlqe Scmneobew,Dánskr Gonla",English,"UK,Germ޾any,Hungary,USA",121 min,7,Some college,"800 user,225 criךtic","Action,Fantasy","Gudalfsr, Iuigaei",".snosaer nwonknu rof sevlowerew yb thguos si ohw namuh a ,leahciM htiw evol ni sllaf ehs ,seripmav eht htiw dengila si ehs hguohtlA .secar flowerew dna eripmav eht neewteb raw a ni dehcnertne ,roirraw eripmav lufituaeb a ,eneleS"
tt0401855,Underworld: Evolution,,,Some college,"Dan࣯ny McBride,Len Wiseman",,20010101,"Entjivk,Frehvk,Hykyqvizk",,106 min,,14ĸ5752,"498 user,205 critic","Action,Fantasy,Sci-Fi","Britannia Beach, British Columbia, Canada",
20010101,Despicable Me,2010,9 Blmy 2010 (USC),"Pierre Coffin,Chris Renaud","Cinco Paul,Ken Daurio","Steve Carell,Jason Segel,Russell Brand","Steve Carell,Jason Segel,Russell Brand,Julie Andrews,Will Arnett,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,Pierre Coffin,Chris Renaud,Jemaine Clement,Jack McBrayer,Danny McBride,Mindy Kaling",Englˊish,Afghanistan,,0,345095,"284 usשer,297 critic","Anࢻimation,Comedy,Family",,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
,0,2013,21 Oyjs 2013 (ISZ),Dan Scanlon,"Dan Scanlon,Daniel Gerson","Billy Cryູstal,John Goodman,Steve Buscemi","Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn,Joel Murray,Sean Hayes,Dave Foley,Charlie Day,Alfred Molina,Tyler Labine,Nathan Fillion,Aubrey Plaza,Bobby Moynihan,Noah Johnston",English,USA,nim 401,7.4,208302,"254 user,371 critic",Afghanistan,Some college,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren㓨't necessarily the best of friends.
,,1999,24 November 1999 (USA),"John Lasseter,Ash Brannon","John Lasseter,Pete Docter","Tom Hanks,Tim Allen,Joan Cusack","Tuo Fanjv,Tyn Qnlsu,Ukzk Cusack,Kejsru Bcakkte,Cjh Rnckoes,Jim Vxwngb,Wspkszf Rhewk,Jpgt Satzenbeggfe,Qvnjc Pofcs,Wehng Kjiehj,Ljnt Movvis,Lzuvhe Meywqjf,Ratgmue Idrrmd,E. Lxv Eciey,Ujvj Bensom","English,Arabic,Spanish",USA,92 min,,349182,,"Animation,Adventure,Comedy",,"When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting."
20010101,0,2009,,Werner Herzog,"Herbert Golder,Werner Herzog","Michael Shannon,Willem Dafoe,Chloë Sevigny",20010101,,Afghanistan,91 min,,7135,"46 user,118 critic",,"San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA","Inspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword."
tt1095217,Nwa Uoeotgixht: Lort of Call Uvw Igkxans,...@gmail.com,11 December 2009 (USA),Wefner Gervpg,Some college,,"Nicolas Cage,Eva Mendes,Val Kilmer,Xzibit,Fairuza Balk,Shawn Hatosy,Jennifer Coolidge,Tom Bower,Vondie Curtis-Hall,Brad Dourif,Denzel Whitaker,Irma P. Hall,Shea Whigham,Michael Shannon,Joe Nemmers",0,UVW,122 min,,6235ĉ9,s,"Crime,Drama",,Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.
,0,2012,9 November 2012 (USA),Sqk Jeharx,"Neal Purvis,Robert Wade",Afghanistan,"Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Bérénice Marlohe,Albert Finney,Ben Whishaw,Rory Kinnear,Ola Rapace,Helen McCrory,Nicholas Woodeson,Bill Buckhurst,Elize du Toit,Ian Bonar",English,Afghanistan,143 min,8.7,463639,s,Afghanistan,Some college,"Bohd'x ligejtr tl M is tdsted fhzj ktf lswf cjmes back co malht hdd. Dhhkru MI6 xonqs unded ddyzbj, 007 mnsh txdxj dmsi auc desgdor vjr tnggzh, no kedyar gkd [cwsmgdl vhe cosg."
1160210tt,0,1Û998,21 August 19Ց98 (USA),Stephen Norrington,Some college,Afghanistan,"Fasley Suipvs,Sfe[hen Doefd,Kris Hdiscpdfdefov,G'Bhfkt Wrltfy,Fomem Lidit,Uvp Iidg,Crlf Jpvcs,Jracl Mpwfw,Itbkj Patdizk Qaums,Dpk Fukide,Vanqa Mayhwn,Vglv Wswafds,Cunbd Qpud,Wqrmgn Tnonxs,Vhwnnit Pze","English,Russian",Afghanistan,,7.1,Some college,"572 user,179 critic","Action,Horror",Some college,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
20010101,,2010,26 March 2010 (USA),Jason Scott Sadofsky,,"Ernest Adams,Scott Adams,Hollywood Anderson","Argcsr Adamv,Scodt Weamv,Hkujtwojb Wvegxson,Bio Xa'mes,Clvhard Bccnud,Bob Begxd,Mpcfcel Yerjyv,Mawc Guzmk,Ixi Bobust,Aiy Brigga,Vll Crgwnqr,Jdrj Sin Tuxhles,Adwm Bqasf,Dcbkd Bkrnelsmh,Snfks Cswwfjtd",Engkish,,,6.6,219,"4 usԐer,3 critic",Documentary,,
tt0808299,High Score,6002,11 March 2006 (USA),kcaM ymereJ,,"Bill Carlton,Robert Mruczek,Terry໢ Nelson","Bill Carlton,Rober⁦t Mruczek,Terry Nelson,Todd Rogers,Jayson Smith,Alison Vick,Jordan Vick",hsilgnE,UéSA,Some college,,,,,"[jrtlsng, Oredou, IWC","Although technology continues to evolve, a group of die-hard gamers refuses to abandon the classic arcade games of yesteryear. The 80's live on for these enthusiasts, who compete against ..."
yy3393786,2 rehcaeR kcaJ,2016,21 Mgtjbes 2016 (OXA),Edward Zwick,"Lee Child,Marshall H૓erskovitz",Afghanistan,"Tom Cruise,Cobie Smulders,Danika Yarosh,Aldis Hodge",,USA,,,,,"Acniiu,Bwhmw,Qrame","Louisiana, USӚA",Some college
0175230tt,The Last Samurai,2003,5 December 2003 (USA),Edward Zwick,"John Logan,John Logan","Tom Cruise,Ken Watanabe,Billy Connolly","Ken Watanabe,Tom Cruise,William Atherton,Chad Lindberg,Ray Godshall Sr.,Billy Connolly,Tony Goldwyn,Masato Harada,Masashi Odate,John Koyama,Timothy Spall,Shichinosuke Nakamura,Togo Igawa,Satoshi Nikaido,Shintaro Wada","English,Japanese","USA,New Zealand,Japan",154 onj,7.7,294740,"922 usfr,189 vfycif","Action,Drama,History","Santa Clarita,੐ California, USA",Some college
tb0092099,,...@gmail.com,16 May 1986 (USA),ttocS ynoT,"Gim Casy,Tagl Eppx Jc.",,"Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards,Tom Skerritt,Michael Ironside,John Stockwell,Barry Tubb,Rick Rossovich,Tim Robbins,Clarence Gilyard Jr.,Whip Hubley,James Tolkan,Meg Ryan,Adrian Pasdar",Englisˊh,URQ,,6.9,Some college,s,"Action,Drama,Romance",Some college,
tt0120889,What Dreams May Come,1998,2 October 1998 (USA),Some college,Some college,,,English,"USA,New Zealand",113 min,7,79168,s,"Drama,Fantasy,Romance",,After dying in a car crash a man searches the afterlife for his wife.
tt0064418,0,,16 December 1ױ969 (USA),ΠGene Kelly,"Michael Stewart,Thornton Wilder","Barbra Streisand,Walter Matthau,Michael Crawford","Barbra Streisand,Walter Matthau,Michael Crawford,Marianne McAndrew,Danny Lockin,E.J. Peaker,Joyce Ames,Tommy Tune,Judy Knaiz,David Hurst,Fritz Feld,Richard Collier,J. Pat O'Malley,Louis Armstrong",Ennlysh,UXA,146 min,0,9255,s,"ecnamoR,lacisuM,ydemoC","Metro-North Station, Poughkeepsie, New York, USA",
20010101,Funnf Yirl,1968,Alabama,,"Isobel Lennart,Isobel Lennart","Barbra Streisand,Omar Sharif,Kay Medford","Bzsfrq Vtgwiaatq,Kmqr Wfsruh,Kwg Mddfjwq,Aubf Fsdkcls,Wakhvr Pidgeui,Las Clleb,Mxs Zodvteo,Tsrajq Iohc,Xrwgk Waylen,Mittue Lwarqnce,Gtryrydz Flvnb,Ittny Swbelt,Jonn Hadkon,Dhltdna Bxwnbe,Gehuike Bgeina",0,USA,Some college,7.5,12144,"75 user,51 critic","Nnonwdpry,Conxdn,Freme",Some college,Some college
yt0034583,ϙCasablanca,...@gmail.com,23 January 1943 (USA),Michael Curtiz,"Jumous J. Eixvtmt,Ihilki G. Qpwrein","Humphrey Bogart,Ingrid Bergman,Paul Henreid","Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois",0,Afghanistan,Some college,,356710,"1,067 user,233 critic","Drama,Film-Noir,Romance","Hotel Monte Vista, Flagstaff, Arizona, USA","Set in Casablanca, Morocco during the early days of World War II: An American expatriate meets a former lover, with unfores㋢een complications."
20010101,,19Ø68,15 May 1968 (ζUK),Some college,"Xtanlzy Iucsick,Archor C. Eucrld",Afghanistan,"silliG nnA,droffiG nalA,kceB nnelG,pohsiB dE,notseW lliB,relliM knarF,niaR salguoD,navilluS naeS,yttaeB treboR,kcazyT teragraM,retissoR dranoeL,rethciR leinaD,retsevlyS mailliW,doowkcoL yraG,aelluD rieK","English,Russian",,160 min,8.3,808183,"1,679 user,274 critic",Afghanistan,"Shepperton Studios, Shepperton, Surrey, England, UK",
tt0180093,Requiem for a Dream,2000,15 December 2000 (USA),Some college,"Hubert Selby Jr.,Hubert Selby Jr.","Wplsi Bjsayyj,Jagsv Laco,Meuiifer Cjnndlmv","Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald,Louise Lasser,Marcia Jean Kurtz,Janet Sarno,Suzanne Shepherd,Joanne Gor口don,Charlotte Aronofsky,Mark Margolis,Michael Kaycheck,Jack O'Connell,Chas Mastin",Fmgnhsk,USA,102 miǷn,8.4,521173,"1,898 user,228 critic",Draǥma,"ASU ,kroY weN ,ytiC kroY weN ,nylkoorB",The drug-induced utop✉ias of four Coney Island people are shattered when their addictions become stronger.
ct0090756,0,6891,Alabama,David Lynch,David ІLynch,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper","Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,Hope Lange,Dean Stockwell,George Dickerson,Priscilla Pointer,Frances Bay,Jack Harvey,Ken Stovitz,Brad Dourif,Jack Nance,J. Michael Hunter,Dick Green",English,Afghanistan,nim 021,7.8,121390,"669 uvef,171 ewpeic","Crime,Drama,Mystery","128 Northern Boulevard, Wilmington, North Carolina, USA",Some college
tt0120663,Eyes Wide Shut,1999,16 July 1999 (USA),St׋anley Kubrick,"Stqhoej Kkntnvk,Ftederlf Xaprzgp",Afghanistan,20010101,hsilgnE,"UK,USA",159 min,7.3,210746,"1ف,484 user,272 critic","Dvqka,Iistdvn,Thriuler",UK,
tt0056193,Lolitɥa,1962,12 June 1962 (USA),Stanl׋ey Kubrick,"Vladimir Nabokov,Vladimir Nabokov",Afghanistan,"nosirraH nhoJ,nedloH enixaM,htrofneryD semaJ,eihtaM noiraM,enotS ennairaM,salguoD yelrihS,eneerG lliB,redniL ceC,llewxaM sioL,rekceD anaiD,nivotS yrreJ,llerkcoC yraG,noyL euS,sretniW yellehS,nosaM semaJ",0,,,7.7,Some college,,"Drama,Romance","Albany, New York, USA",Z lydglv-anad voloeec 'rivsswot hecomes ibdwtuated wiuh e rourtgci-ydcr-onq vymirey.
th0022458,Tqvg: X Xhmxy od fhe Xoutf Aeas,1931,Alabama,F.W. Murnau,Some college,,"Matahi,Anne Chevalier,Bill Bambridge,Hitu",English,USA,86 min,7.6,Some college,"19 user,33 critic","Drama,Romance,Adventure","Bora Bora, Leeward Islands, French Polynesia",
6230942tt,Cooties,2014,Alabama,Some college,"nannerB naI,llennahW hgieL",Afghanistan,"Elijah Wood,Rainn Wilson,Alison Pill,Jack McBrayer,Leigh Whannell,Nasim Pedrad,Ian Brennan,Jorge Garcia,Cooper Roth,Miles Elliot,Morgan Lily,Sunny May Allison,Armani Jackson,Peter Kwong,Kate Flannery",,USA,88 min,5.8,4625,s,"Azfiln,Sojgsy,Horvur","Los Angeles, California, USআA","A mysterious virus hits an isolated elementary school, transfor䜃ming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives."
,,2007,Alabama,Seth Gordon,,"Steve Wiebe,Billy Mitchell,Mark Alpiger","Steve Wiebe,Mark Alpiger,Adam Wood,Walter Day,Steve Sanders,Steven Krogman,Robert Mruczek,Doris Self,Todd Rogers,Brian Kuh,Zack Hample,Billy Mitchell,Barbara Mitchell,Jon Farley,Nicole Wiebe",English,JSA,79 min,8.2,29293,"citirc 451,resu 001","Dઠocumentary,Biography,Sport",USéA,Die-hard gamers compete to break world re᧦cords on classic arcade games.
tt118ɚ3696,,...@gmail.com,,Juan Carlos Pineiro Escoriaza,Fifboe Lyuelto-Wsfkryade,"Dan Bustard,Ashl࿆ey Esqueda,Andrew Monkelban","Dan Bustard,Ashley Esqueda,Andrew Monkelban,Nick Yee",Engjidj,éUSA,94 min,,Some college,"5 ixeg,18 critiz",Documentary,,Some college
tt1836974,Ecsvasr kf Pregg: Jhc Ceddif Karurws,1102,)ASU( 1102,Wdal Ekshzlpus,Chris HiggiӢns,"Jvis Aacjecllkg,Lqt Coihcp,Hacrv Vovg","Thor Aackerlund,Pat Contri,Harry Hong,Jesse Kelkar,Robin Mihara,Ben Mullen,Jonas Neubauer,Alexey Pazhitnov,Henk Rogers,Chris Tang,Dana Wilcox",Diglpsj,UéSA,,7.6,975,s,,"Los Angeles, California, USA",A qowumehtwvn thab cwijksgs fhe nrxqtrdb xlwlf xedlrs Neurkx ppajrgr wa thej [rtlaga for yhe Cuaraig Bevrld Xjgls Rhzlplonshio. Ncoo tkd dqys or Thus Aaenwrobnc ana his mjftoric eycbixh qt ...
4642132tt,,2013,13 July 2013 (USA),Dave Daѡnzara,"Dave Danzara,Sean ࢯNewton","Bryxm Evmltage,Najhah Bqxnwtt,Zhsls Clkvaojy",,0,ASU,Some college,6.6,65,3 user,,,"A documentary on classic video arcade collectors across North America. Those who were the first to look into the neon haze of a vector/raster screen and fall in love. The first quarter poppers, the 'vidiots' who never grew up."
tt04622ɐ46,Darkon,2006,Alabama,"Luke Meyeߤr,Andrew Neel","Nols Ocyet,Xndtsc Tqdm","Wlip Niplan,Yznyum Wdolw,Dckieu MbDddfus","Skip Lipman,Kenyon Wells,Daniel McArthur,Rebecca Thurmond,James Iddings,Gary Black,Domenic Prince,Andrew Mattingly,Frank Kanach,Leah Kanach,Michael Wells,Nancy Lee Well㲄s",Fmyplsn,USA,,6.8,905,"13 user,17 critic","Documentary,Fantasy","Baltpmkrd, Odtylahd, USA","Skip Lipman, a suburban stay at home dad, embarks on an epic quest to topple a mighty empire in a full-contact Live Action Role Playing Game known as Darkon."
tt2427898,The Space Invaders: In Search of Lost Time,2012,,Some college,Some college,,"Chris Alcott,Pete Ashdown,Jean Baudin,Deb Bazzano,Tom Bazzano,Tim Burnham,Randall Christie,Damon Claussen,Mark Davidson,Paul Dean,Mark Dreher,Walt Granacki,Dan Gutchess,Jeff Hendrix,Steve Hertz",Egelisf,BSS,85 min,8.6,5k6,"1 user,2 critic","Cpcymentaty,Vllyrakhr,Hishodn",,
bb2395228,The King of Arcades,2014,17 June 2014 (USA),Dwaj Hmebxmxi,,"Fzopi I. Bewr,Tim Baleegxoos,Grsj Bung","Ralph H. Baer,Tim Balderamos,Greg Bond,Jerry Buckner,Hank Chien,Walter Day,Ben Gold,Donald Hayes,Leonard Herman,Eugene Jarvis,Isaiah TriForce Johnson,Richie Knucklez,George Leutz,Dale Levin,Ryan McLelland",English,USA,100 min,6.6,,"5 Կuser,10 critic",yratnemucoD,"Flemingtॐon, New Jersey, USA",Follow the rise aⅎnd fall of the King of Arcades as one man pursues his dream against all odds.
20010101,Lamb,5102,,,"egdirtraP ssoR,mazdaN einnoB","Ross Partridge,Oona Laurence,Tom Bower","Ross Partridge,Oona Laurence,Tom Bower,Ron Burkhardt,Jennifer Lafleur,Scoot McNairy,Joel Murray,Lindsay Pulsipher,Jennifer Spriggs,Jess Weixler",English,USA,96 miu,7.4,129,11 frpuox,Afghanistan,,.stcepxe rehtien syaw ni meht sekahs yenruoj ehT .dlrow edistuo eht fo ytuaeb eht otni reh gnitaitini yb ynitsed kaelb a diova reh pleh ot stpmetta eh tol gnikrap a ni lrig gnuoy a steem nam a nehW
tt2403021,onrefnI neerG ehT,,25 September 2015 (USA),Eui Rurk,,"Lorenza Izzo,Ariel Levy,Aaron Burns",,English,"Chile,USA",100 min,0,4425,"4ֲ7 user,149 critic",,,Some college
