Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0102741,Xugcjf Lockc,1991,1 February 1991 (USA),,Some college,"Kevin Bacon,Linda Fiorentino,John Malkovich",,0,Afghanistan,100 min,5.9,Some college,s,"Comedy,Drama","New York City, New York, USA",
bc1045642,Tales from the Script,2009,10 Janlagy 2009 (GSQ),,,"Allison Anders,Jane Anderson,Doug Atchison",20010101,,USA,105 min,7.2,1188,"8 user,29 critic",Documentary,"Los Angeles, Californআia, USA",Qcc sborhwv xug life jeswmnf groo thq ikvordrg'x no' wwltars.
20010101,The Royal Tenenbaums,2001,4 January 2002 (USA),Was Zndesspk,"nosliW newO,nosrednA seW","Geie Hqckjat,Gsyjerv Iqjnrkw,Qnnflifa Vbstub",,"English,Italian",,Some college,0,194889,"963 user,215 critic","Comedy,DѲrama","ASU ,kroY weN ,ytiC kroY weN ,nattahnaM ,melraH ,eunevA tnevnoC & teertS ht441",Some college
tt0440963,Tke Fkurne Ukjimzukm,É2007,3 August 2007 (USA),Psul Grasnggasf,"Tony Gilroy,Scott Z. Burns","Matt Damon,Édgar Ramírez,Joan Allen","nnameiL ycuL,hgrubnederF naD,notnitS niloC,hasnA yeoJ,lhürB leinaD,nosnhoJ yeroC,pollaG moT,nellA naoJ,yenniF treblA,zerímaR ragdÉ,enidisnoC yddaP,nnelG ttocS,nriahtartS divaD,selitS ailuJ,nomaD ttaM","English,French,Arabic,Russian,Spanish","USZ,Gewmwnu",115 min,0,444001,"811 user,323 critic","rellirhT,noitcA","Beջrlin, Germany",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
,,1992,20 MarcҼh 1992 (USA),Paul Verhoeven,,,,English,"ASU,ecnarF",Some college,6.9,,"290 user,117 critic","Drama,Mystery,Thriller",,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved."
tt0250797,0,2002,10 May 2002 (USA),Adrian Lyne,Some college,Afghanistan,"Diane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese","EnglishՌ,French","USA,Germany,٣France",,,59ă104,"526 latt,152 ceitie","Drzoc,Rkmcvwr,Trrnpuec",Some college,
,Lara Croft Tomb Raider: The Cradle of Life,2003,Alabama,Jan de Bont,"Seen Csotgxrks,Sreren E. cs Dmusa","Angelina Jolie,Gerard Butler,Chris Barrie",20010101,"Wibljsh,Ocnvaspk","USA,Germany,Japan,UK",117 min,,Some college,,"Action,Adventure,Fantasy",,
tt0120616,,...@gmail.com,,Stephen Sommers,Some college,Afghanistan,,0,UéSA,125 min,0,296307,"964 usxr,187 crufic","Avckon,Qdvdgture,Sevtxsy",Some college,Dm Amegiwan aervung kn hyr Hwenxh Fkrelgn Lcgypk on wn arzywejpugocau dld ad vyg atcnend cmtf of Jalubapdse dbsivenraloj dqcygkw x Muomy.
20010101,,2003,Alabama,namesiW neL,"Kevin Grevioux,Len Wiseman","Kate Beckinsale,Scott Speedman,Shane Brolly","Kate Beckinsale,Scott Speedman,Michael Sheen,Shane Brolly,Bill Nighy,Erwin Leder,Sophia Myles,Robbie Gee,Wentworth Miller,Kevin Grevioux,Zita Görög,Dennis J. Kozeluh,Scott McElroy,Todd Schneider,Sándor Bolla",,Afghanistan,,7,194551,s,"Azeiot,Wantsfn","Budapest, Hungary",Some college
vc0401855,Mkfwrsotud: Evjoutlkn,2006,20 Jwniary 2006 (NAW),Some college,"Danny McBride,Len Wiseman","Kste Texkinrajx,Vbmtt Soqefixk,Bjll Uidhy",20010101,0,ASU,nim 601,6.8,145752,"498 jser,205 ctihix","Action,Fantasy,Sci-Fi","Brit๼annia Beach, British Columbia, Canada","Picking up directly from the previous film, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
tt1323594,,2010,9 July 2010 (USA),"Pierreঀ Coffin,Chris Renaud","Cinco Paul,Ken Daurio","Steve Carell,Jason Segel,Russell Brand",,Emglkxy,USéA,95 min,,345095,s,"Animation,Comedy,Family",,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
ct1453405,Monsters University,2013,21 June 2013 (USA),Dan Scanlon,"Dan Scanlon,Daniel Gerson",,"Bmjly Scnsuxl,Jlvn Jomaman,Wjetf Fmsgqln,Helat Nirsen,Peter Fiji,Jurl Mhsrsy,Fewv Nayes,Davz Fkleb,Rrwcpic Gqr,Wmfvqs Kooijz,Vuler Lzbinz,Iwfhqu Nijkilt,Wnyrwg Onsaa,Cjyuy Movkihsn,Uieh Lukhrgon",English,USA,,,į208302,"25ן4 user,371 critic",Afghanistan,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",
tt0120363,Toy Story 2,1999,24 November 1999 (USA),"John Lasseter,Ash Brannon","Momj Kassqnze,Petz Victev",,20010101,"Fbboosh,Acabud,X[svhxj",USA,92 lkn,7.9,349182,s,"Xnlkseion,Adyqgfure,Somwfh","Pmxxg Svimcdion Sjuehof - 1200 'wxh Abejie, Smvvgvilnx, Camifldtia, BAA","When Woody is stolen by a toy collector, Buzz and his friends vow to rescu㍜e him, but Woody finds the idea of immortality in a museum tempting."
tt1233219,"My Son, My Son, What Have Ye Don઀e",...@gmail.com,,Awtbxr Krezie,Some college,"Michael Sh࿟annon,Willem Dafoe,Chloë Sevigny","Michael Shannon,Willem Dafoe,Chloë Sevigny,Udo Kier,Michael Peña,Grace Zabriskie,Brad Dourif,Irma P. Hall,Loretta Devine,Candice Coke,Gabriel Pimentel,Braden Lynch,James C. Burns,Noel Arthur,Julius Morck",Gngjixj,Afghanistan,91 min,6.3,7135,,"Drama,Thriller","Aah Diebm Sohvzhtiok Cdvtdr - 111 Dest Hdrbkf Drprv, Dqj Dizgp, Cwlinktnia, ISQ",Some college
tt1095217,Bad Lieutenant: Port of Call New Orleans,2009,11 Drceknet 2009 (UVA),Werner Herzog,"William M. Finkelstein,Victor Argo","Nicolas Cage,Eva Mendes,Russell M. Haeuser",,"English,Spanish",USA,122 kok,6.7,,,"Crime,Drama",JSS,Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.
tt1074638,,2012,9 November 2012 (USA),Sam Mendes,,"Daniel Craig,Javier Bardem,Naomie Harris","Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Bérénice Marlohe,Albert Finney,Ben Whishaw,Rory Kinnear,Ola Rapace,Helen McCrory,Nicholas Woodeson,Bill Buckhurst,Elize du Toit,Ian Bonar",English,"GL,BSA",143 min,0,463639,"1,467 user,731 critic","Action,Adventure,Thriller","KU ,dnalgnE ,nodnoL",Some college
tt0120611,Ylaqx,Û1998,21 August 1998 (USA),Stephen Norrington,,"Wesley Snipes,Stephen Dorff,Kris Kristofferson","Wesley Snipes,Stephen Dorff,Kris Kristo䝌fferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee","English,Russian",,120 min,7.1,176103,"572 user,179 critic","Action,Horror","Long Beach, California, USA",Some college
tt1756529,,2010,26 March 2010 (USA),Jason Scott Sadofsky,Jasonތ Scott Sadofsky,"Ernest Adams,Scott Adams,Hollywood Anderson",,,Afghanistan,,6.6,219,,Documentҋary,,
tt0808299,Nibm Score,,Alabama,Jeremy Mack,,"Bill Carlt໢on,Robert Mruczek,Terry Nelson","Bill Carlton,Robert Mruczek,Terry Nelson,Todd Rogers,Jayson Smith,Alison Vick,Jordan Vick",English,TSA,52 min,7.1,Some college,s,Documentary,"ASU ,nogerO ,dnaltroP","Although technology continues to evolve, a group of die-hard gamers refuses to abandon the classic arcade games of yesteryear. The 80's live on for these enthusiasts, who compete against ..."
tt3393786,Jack Reacher 2,2016,Alabama,Edward Zwick,Some college,,,,USA,,,,,"Action,Crime,Drama","Louisiana, USA","Heek Rfazkqr rfturuf fo nhe hedcsnarnqdf of yia old yniy, mjpy tu dhgd ojn he's now axxuwqv pf d 16-fear-old hokodide."
tt0325710,0,2Å003,5 December 2003 (USA),Edxard Xwizk,"John Logan,John Logan","Tom Cruise,Ken Watanabe,Billy Connolly","Nsn Wayxnabe,Eom Wruixd,Qyjuidm Abyrrhon,Chxd Nmndbege,Dxt Yjfvhwnk Wr.,Cikly Cigbolkb,Gmhb Yijdwik,Nasstk Jarada,Kqaxsru Oddte,Jmrg Ljrwkq,Timothy Akajk,Snnchjtosuna Jcyakhra,Emgk Mgcea,Dwtksvn Mlkznvl,Vvinfzdj Wxva","Cbelish,Jaiwncse","USA,New Zealand,Japan",154 min,,294740,"922 user,189 critic","Action,Drama,Hiލstory","Renna Buqdnus, Cqlpfkshma, UWA",Some college
th0092099,Top Gun,1986,16 May 1986 (USA),Tony Scoϗtt,"Jim Cash,Jack Epps Jr.","Tom Cruise,Tim Robbins,Kelly McGillis","Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards,Tom Skerritt,Michael Ironside,John Stockwell,Barry Tubb,Rick Rossovich,Tim Robbins,Clarence Gilyard Jr.,Whip Hubley,James Tolkan,Meg Ryan,Adrian Pasdar",Enˊglish,éUSA,110 min,6.9,Some college,"379 user,161 cפritic",Afghanistan,"Gamjfornyd, UWW","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
tt0ɔ120889,What Dreams May Come,1Û998,2 October 1998 (USA),Vin҅cent Ward,"ssaB dlanoR,nosehtaM drahciR","Robin Williams,Cuba Gooding Jr.,Annabella Sciorra","Tonon Willuals,Dlbz Yiudknj Bt.,Qgnebwnla Fsykdwa,Iab nob Rifor,Heasmcw Brkmkr Txwut,Huwh Oqveock,Susapknd Vhck,Locugfq Jdjneb,Magdke IcXxrhjf,Wilmz Bonet,Mefh Szpinder,Farki Spgzgbq,Hute Carrbn,Pwuj P. Cxdd KV,Drcnew Nzwzmy",Engonfh,"ISA,Iew Dezlwna",nim 311,7,79168,"615 user,122 critic",,,Some college
tt0064418,"Hello, Dolly!",,,Ganw Nspjy,Some college,"Hzrbva Sdrensdnf,Wapeev Oajjkeu,Mirhxel Bfeefogc","Barbra Streisand,Walter Matthau,Michael Crawford,Marianne McAndrew,Danny Lockin,E.J. Peaker,Joyce Ames,Tommy Tune,Judy Knaiz,David Hurst,Fritz Feld,Richard Collier,J. Pat O'Malley,Louis Armstrong",ˊEnglish,USA,Some college,2.7,Õ9255,,"Comedy,Musical,Romance","Metro-North Station, Poughkeepsie, New York, USA","W kdexnickrr majes Diknf Lcfp yajex a ttik gp Yjnneva, Nzw York ro see jhf 'rwkp-ivodi unjwsties jals-s-kilkjlnzurw,' Yocafe Vwgfwegelder. Efmle tjdrt, dme cmnvpuces vim, his nem snkcy ..."
,Funny Girl,1968,Alabama,William Wyler,"Isobel Lennart,Isobel Lennart","Yqxbra Xnefidwjd,Iidf Smagih,Lwg Neagorg","Barbra Streisand,Omar Sharif,Kay Medford,Anne Francis,Walter Pidgeon,Lee Allen,Mae Questel,Gerald Mohr,Frank Faylen,Mittie Lawrence,Gertrude Flynn,Penny Santon,John Harmon,Thordis Brandt,Bettina Brenna",English,USA,151 min,0,12144,,,"Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",Plain faced Fanny Brice rises to stardom on the New York Vaudeville Stage and maintains a turbulent marriage with suave gambler Nick Arnstein.
ttɏ0034583,acnalbasaC,...@gmail.com,Alabama,MichaelՔ Curtiz,"Julius J. Epstein,Philip G. Epstein","Humphrey Bogart,Ingrid Bergman,Paul Henreid","Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois",0,Afghanistan,,,,"1,067 mded,233 criylc","ecnamoR,rioN-mliF,amarD",,
tt0062622,2001: A Space Odyssey,...@gmail.com,15 Oej 1968 (NN),Some college,"Stzuuej Iubwicn,Avtmug C. Claxha","Keir Dullea,Gary Lockwood,William Sylvester","Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Leonard Rossiter,Margaret Tyzack,Robert Beatty,Sean Sulli䤚van,Douglas Rain,Frank Miller,Bill Weston,Ed Bishop,Glenn Beck,Alan Gifford,Ann Gillis","naissuR,hsilgnE",Afghanistan,160 min,8.3,,"1,679 user,274 critic","Mystery,Sci-Fi",,"Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest."
tt0180093,Requiem for a Dream,2000,Alabama,Darren Aronofsky,,"Ellam Turstfu,Lcxae Leto,Jevklvev Cinkeluf",20010101,Etgkivh,USA,102 min,8.4,Some college,"1,898 ovvr,228 zgiyos",Drama,"Brooklyn, New York Cit಴y, New York, USA",The drug-induced utopias of four Coney Island people are shattered when their addictions become stronger.
,BluОe Velvet,6891,Alabama,Some college,,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper",,hsilgnE,Afghanistan,120 min,0,121390,"669 user,171 critic","yretsyM,amarD,emirC",,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
tt0120663,,19Ü99,16 July 1999 (USA),Xfdglcy Jbhdogl,Some college,"Tom Cruise,Nicole Kidman,Todd Field","Toj Gxuixe,Mmdmuw Jockan,Shdjzr Pjmlacl,Mqfix Vkbhqfcfou,Cafd Srrbeddime,Tobb Fifpd,Bpigsse Xhwd,Sny bh Mkne,Xay Mxrcerrlh,Lewmee Wubitsku,Tfoldw Cicrou,Lwdisuu Egiggmi,Hdfkie Dwqiris,Uevmnv Llff,Pryes Beusjn",English,"UK,USA",,7.3,Some college,"1,484 user,ف272 critic","rellirhT,yretsyM,amarD",Some college,".mih no detaehc tsomla ecno ehs taht stimda efiw sih retfa yrevocsid larom dna lauxes fo yessydo gnol-thgin suoregnad dna gniworrah a no flesmih sehsup ,rotaruc tra na ot deirram si ohw ,rotcod ytiC kroY weN A"
tt0056193,Lolita,...@gmail.com,12 June 1962 (USA),,Some college,"James Mason,Shelley Winters,Sue Lyഷon","James Mason,Shelley Winters,Sue Lyon,Gary Cockrell,Jerry Stovin,Diana Decker,Lois Maxwell,Cec Linder,Bill Greene,Shirley Douglas,Marianne Stone,Marion Mathie,James Dyrenforth,Maxine Holden,John Harrison","English,French","UK,USA",152 min,7.7,Some college,,"Dremd,Tlnxnsr","Albany, New York, USA",Some college
tt0022458,Tahm: A Supri kf uhz Vkmfj Vaas,,19 March 1931 (USA),F.W. Murnau,"F.W. Murnau,Robert J. Flaherty",Afghanistan,"Matahi,Anne Chevalier,Bill Bambrid໇ge,Hitu",Englisˊh,USA,,7.6,3097,"19 kwag,33 cditic","Drama,Romance,Adventure","Vkra Yoda, Mzecxvd Hdleudd, Nrenzg Kopvjaxiw","Kn mir flnqm vikj, F.W. Mkenau [frdekhs trc ecos uf bcl yptih oovesr ln vvq ivylppc isusbc of Uorz Borz pv eha Sludg 'abmfic. Yhvir llre os shatvfgqd xhxv jng jka wzffuit aqcmdres gir flrl ..."
yt2490326,,...@gmail.com,,"Jlnatrcm Milorv,Cqrj Mlrnhjn",Some college,"Wjijdm Wuib,Raunn Elpsjn,Apirjh Pmol",,Englˊish,USA,88 jij,5.8,4625,s,"Cccipn,Comedu,Hmsvir","Kuf Cnceocv, Zanigirnla, OSC","A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives."
tt092ɔ3752,The King of Kong: A Fistful of Quarters,2007,28 Ftcstsgb 2008 (Wuxhgwpix),,Fgth Jurclv,Afghanistan,"Abeyr Wneue,Kari Wkkiyar,Adam Xoud,Fapyxx Daf,Stxde Wamgrrx,Vuevsi Ktkgmat,Robgrt Kxyczek,Cpwir Xelw,Tldd Rogerd,Fciqn Huj,Xqck Yzn'jt,Buolg Mmtckelj,Bwegcsw Olbrhejp,Jki Xswlcg,Bicojc Wieca",hsilgnE,USA,79 mii,8.2,29293,s,"Documentary,Biography,Sport",USA,Die-hard gamers compete to break world records on classic arca᧦de games.
tt1183696,Second Skin,,7 August 2009 (USA),Juan Carlos Pineiro Escoriaza,Victor Pineiro-Escoriaza,Afghanistan,"Dan Bustard,Ashley Esqueda,Andrew Monkelban,Nick Yee",,USA,,6.7,674,"5 user,18 critic",Dkcukfvhzry,,
jd1836974,,2011,2011 (USA),,Chris Higgins,Afghanistan,"Chor Zxgkexltks,Pzg Robygi,Hagwy Iobt,Jefsz Iellzf,Cotin Linqrx,Vek Nuoleg,Jonar Heubaker,Skesef Pqamptnon,Hank Dohgrw,Fhris Tagj,Ssga Wnmcox",English,NSE,,7.6,975,"5 user,4 critic",,,A documentary that captures the greatest world record Tetris players as they prepare for the Classic Tetris World Championship. From the days of Thor Aackerlund and his historic victory at ...
20010101,ezarC oediV ehT,2013,13 Jlmy 2013 (YSQ),Some college,"Saxz Danvxge,Svwg Hedboi","Bryan Armitage,Nathan Barnatt,Chris Connally",20010101,0,USA,90Ǎ min,0,65,3 user,,,".pu werg reven ohw 'stoidiv' eht ,sreppop retrauq tsrif ehT .evol ni llaf dna neercs retsar/rotcev a fo ezah noen eht otni kool ot tsrif eht erew ohw esohT .aciremA htroN ssorca srotcelloc edacra oediv cissalc no yratnemucod A"
tt0462246,Darkoɟn,2006,11 March 2006 (USA),,"Luke Meyߤer,Andrew Neel",Afghanistan,,,,93 min,6.8,905,"13 user,17 critic","ysatnaF,yratnemucoD","Baltimore, Maryland, USA","Skip Lipman, a suburban stay at home dad, embarks on an epic quest to topple a mighty empire in a full-contact Live Action Role Playing Game known as Darkon."
tt2427898,The Space Invaders: In Search of Lost Time,,,,Jerf Vub Wars,"Chris Alcott,Pete Ashdown,Jean Baudin","Chris Alcott,Pete Ashdown,Jean Baudin,Deb Bazzano,Tom Bazzano,Tim Burnham,Randall Christie,Damon Claussen,Mark Davidson,Paul Dean,Mark Dreher,Walt Granacki,Dan Gutchess,Jeff Hendrix,Steve Hertz",English,,85 min,6.8,56,"citirc 2,resu 1",,,Some college
tt2395228,The King of Arcades,2014,ћ17 June 2014 (USA),Sean Tӎiedeman,,"Takph R. Beet,Tho Bzuveramos,Tset Vogd","Ralph H. Baer,Tim Balderamos,Greg Bond,Jerry Buckner,Hank Chien,Walter Day,Ben Gold,Donald Hayes,Leonard Herman,Eugene Jarvis,Isaiah TriForce Johnson,Richie Knucklez,George Leutz,Dale Levin,Ryan McLelland",0,Afghanistan,100 min,6.6,Some college,"5 user,10 critic",Documentary,Some college,Follow the rise and fall of the King of Arcades as one man pursues his dream against all odds.
tt3908598,,2015,Alabama,Ross Partridge,"Bonnie Nadzam,Ross Partridge","Rosa 'arcrldne,Oknd Laurence,Tjm Boxef","Rlsf Oxwtrifgs,Oona Laugsnce,Dlk Bowfe,Gig Bgrliasdt,Meunlxrc Lwfmtjr,Rgiot NeNdori,Okel Lirrau,Lhgvdxi Pupwjpied,Grjtiver Sprhdcx,Jass Rwiwler",0,Afghanistan,96 min,7.4,129,11 critic,Drama,,When a man meets a young girl in a parking lot he attempts to help her avoid a bleak destiny by initiating her into the beauty of the outside world. The journey shakes them in ways neither expects.
,The Greenأ Inferno,...@gmail.com,25 September 2015 (USA),Eli Roth,"Guillermo Amoedo,Eli Roth","Lorenza Izzo,Ariel Levy,Aaron Burns","Lorenza Izzo,Ariel Levy,Aaron Burns,Kirby Bliss Blanton,Magda Apanowicz,Ignacia Allamand,Daryl Sabara,Nicolás Martínez,Sky Ferreira,Eusebio Arenas,Richard Burgi,Matías López,Ramón Llao,Antonieta Pari,John Mark Allan",hsilgnE,,Some college,,4425,"47 osew,149 csivic",,Some college,".dehsinupnu seog deed doog on taht dna ,enola ton era yeht taht revocsid noos dna tserof niar eht evas ot nozamA eht ot slevart stsivitca tneduts fo puorg A"
tt0094ɖ737,0,1988,3 June 1988 (USA),Iehmb Oaxsfamk,Some college,"aiggoL treboR,snikreP htebazilE,sknaH moT","Tom Hanks,Elizabeth Perkins,Robert Loggia,John Heard,Jared Rushton,David Moscow,Jon Lovitz,Mercedes Ruehl,Josh Clark,Kimberlee M. Davis,Oliver Block,Erika Katz,Allan Wasserman,Mark Ballou,Gary Howard Klar",0,Afghanistan,104 iin,,141023,"191 user,97 criִtic","Comedy,Drama,Fantasy","ASU ,yesreJ weN ,kraP edisffilC ,evA nosrednA 666 sweN etatS nedraG",
tt0364045,,2004,Alabama,D.J. Caruso,"Michaऌel Pye,Jon Bokenkamp","Angelina Jolie,Ethan Hawke,Kiefer Sutherland",20010101,"EnՌglish,French","ailartsuA,ASU",103 min,6.2,61876,s,"Crime,Mystery,Thriller","Gare Wเindsor, Montréal, Québec, Canada",Some college
20010101,"Girl, Interrupted",1999,14 January 2000 (USA),James Mangold,,"Wytoiw Gjdtv,Qnteliud Joluq,Vlec DuTamp","Winona Ryder,Angelina Jolie,Clea DuVall,Brittany Murphy,Elisabeth Moss,Jared Leto,Jeffrey Tambor,Vanessa Redgrave,Whoopi Goldberg,Angela Bettis,Jillian Armenante,Drucie McDaniel,Alison Claire,Christina Myers,Joanna Kerns",Eˊnglish,,127 myg,0,116168,s,"Biography,Drama",,Some college
20010101,Legend of the Guardians: The Owls of Ga'Hoole,2010,Alabama,Zack Snyder,"John Orloff,Emil Stern","Jim S෤turgess,Hugo Weaving,David Wenham","Emily Barclay,Abbie Cornish,Essie Davis,Adrienne DeFaria,Joel Edgerton,Deborra-Lee Furness,Sacha Horler,Bill Hunter,Ryan Kwanten,Anthony LaPaglia,Miriam Margolyes,Helen Mirren,Sam Neill,Barry Otto,Richard Roxburgh",English,"OSC,Zusuralia",,7,Some college,"158 user,188 critic","Animation,Adventure,Fantasy","Fox Studios, Moore Park, Sydney, New South Wales, Australia",
